,MOUSSE,,,,,,BILLE/PELET,,,,,,FILM,,,,,,,,,,,,,,,
Echantillon,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,,,,,,Plage,Echantillon,Fibres,Particules dures,Particules souples
VD_Lut_6,0,1,0,34,2,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Lutry,VD_Lut_6,394,19,19
VD_Lut_8,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Lutry,VD_Lut_8,146,3,20
VD_Pic_1,,,,,,,,,,,,,,,,,,,,,,,,Pichette,VD_Pic_1,18,2,0
VD_Pic_2,,,,,,,,,,,,,,,,,,,,,,,,Pichette,VD_Pic_2,107,6,0
VD_Pic_3,,,,,,,,,,,,,,,,,,,,,,,,Pichette,VD_Pic_3,75,8,0
VD_Pic_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Pichette,VD_Pic_4,369,185,5
VD_Pic_6,0,0,1,146,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Pichette,VD_Pic_6,2593,317,81
VD_Pré_1,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_1,179,16,3
VD_Pré_10,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_10,53,40,2
VD_Pré_11,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_11,224,23,6
VD_Pré_12,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_12,124,13,2
VD_Pré_13,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,Préverenges,VD_Pré_13,253,10,8
VD_Pré_14,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_14,208,26,8
VD_Pré_15,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Préverenges,VD_Pré_15,285,15,49
VD_Pré_16,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_16,94,14,6
VD_Pré_17,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_17,130,21,6
VD_Pré_19,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_19,120,18,4
VD_Pré_2,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_2,240,40,604
VD_Pré_20,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_20,121,29,7
VD_Pré_21,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_21,206,85,11
VD_Pré_22,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Préverenges,VD_Pré_22,93,30,12
VD_Pré_23,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Préverenges,VD_Pré_23,67,7,8
VD_Pré_24,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Préverenges,VD_Pré_24,91,2,7
VD_Pré_3,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_3,251,112,118
VD_Pré_4,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_4,36,41,1
VD_Pré_5,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_5,67,58,3
VD_Pré_6,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_6,69,15,2
VD_Pré_7,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_7,110,32,6
VD_Pré_8,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_8,132,9,10
VD_Pré_9,,,,,,,,,,,,,,,,,,,,,,,,Préverenges,VD_Pré_9,118,43,13
VD_Rol_1,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_1,67,30,2
VD_Rol_10,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_10,72,10,3
VD_Rol_11,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_11,155,36,1
VD_Rol_12,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_12,99,20,5
VD_Rol_13,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_13,156,198,1
VD_Rol_14,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_14,72,43,1
VD_Rol_15,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_15,131,42,2
VD_Rol_16,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_16,155,12,4
VD_Rol_17,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_17,84,16,5
VD_Rol_18,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_18,58,12,0
VD_Rol_19,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_19,97,33,4
VD_Rol_2,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_2,28,35,0
VD_Rol_20,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_20,98,31,7
VD_Rol_21,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_21,240,154,6
VD_Rol_3,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_3,60,15,3
VD_Rol_4,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_4,160,24,2
VD_Rol_5,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_5,98,21,2
VD_Rol_6,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_6,145,40,9
VD_Rol_7,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_7,177,21,2
VD_Rol_8,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_8,83,41,6
VD_Rol_9,,,,,,,,,,,,,,,,,,,,,,,,Rolle,VD_Rol_9,72,21,2
VD_Tol_1,,,,,,,,,,,,,,,,,,,,,,,,Tolochenaz,VD_Tol_1,54,3,0
VD_Tol_2,,,,,,,,,,,,,,,,,,,,,,,,Tolochenaz,VD_Tol_2,54,1,0
VD_Tol_3,,,,,,,,,,,,,,,,,,,,,,,,Tolochenaz,VD_Tol_3,82,7,0
VD_Tol_4,,,,,,,,,,,,,,,,,,,,,,,,Tolochenaz,VD_Tol_4,176,6,0
VD_Vid_1,,,,,,,,,,,,,,,,,,,,,,,,Vidy,VD_Vid_1,102,2,0
VD_Vid_10,0,2,0,46,6,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,Vidy,VD_Vid_10,171,12,28
VD_Vid_11,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Vidy,VD_Vid_11,124,37,15
VD_Vid_12,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Vidy,VD_Vid_12,129,62,50
VD_Vid_13,,,,,,,,,,,,,,,,,,,,,,,,Vidy,VD_Vid_13,0,0,0
VD_Vid_2,,,,,,,,,,,,,,,,,,,,,,,,Vidy,VD_Vid_2,202,10,1
VD_Vid_3,,,,,,,,,,,,,,,,,,,,,,,,Vidy,VD_Vid_3,39,1,0
VD_Vid_4,,,,,,,,,,,,,,,,,,,,,,,,Vidy,VD_Vid_4,24,2,0
VD_Vid_5,,,,,,,,,,,,,,,,,,,,,,,,Vidy,VD_Vid_5,36,13,2
VD_Vid_6,,,,,,,,,,,,,,,,,,,,,,,,Vidy,VD_Vid_6,34,1,0
VD_Vid_7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Vidy,VD_Vid_7,214,45,34
VD_Vid_8,,,,,,,,,,,,,,,,,,,,,,,,Vidy,VD_Vid_8,0,0,0
VD_Vid_9,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Vidy,VD_Vid_9,130,15,28
VS_Bou_1,,,,,,,,,,,,,,,,,,,,,,,,Bouveret,VS_Bou_1,68,14,0
VS_Bou_10,0,1,0,30,5,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Bouveret,VS_Bou_10,80,14,11
VS_Bou_11,0,0,0,33,4,0,0,0,0,4,1,3,0,0,0,0,0,0,,,,,,Bouveret,VS_Bou_11,883,21,67
VS_Bou_12,,,,,,,,,,,,,,,,,,,,,,,,Bouveret,VS_Bou_12,0,0,0
VS_Bou_2,,,,,,,,,,,,,,,,,,,,,,,,Bouveret,VS_Bou_2,100,9,0
VS_Bou_3,,,,,,,,,,,,,,,,,,,,,,,,Bouveret,VS_Bou_3,36,1,0
VS_Bou_4,,,,,,,,,,,,,,,,,,,,,,,,Bouveret,VS_Bou_4,37,18,2
VS_Bou_5,,,,,,,,,,,,,,,,,,,,,,,,Bouveret,VS_Bou_5,199,59,0
VS_Bou_6,,,,,,,,,,,,,,,,,,,,,,,,Bouveret,VS_Bou_6,35,0,0
VS_Bou_7,,,,,,,,,,,,,,,,,,,,,,,,Bouveret,VS_Bou_7,53,5,0
VS_Bou_8,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bouveret,VS_Bou_8,185,12,58
VS_Bou_9,1,0,2,30,4,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,Bouveret,VS_Bou_9,91,12,44
,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
