p,E,z,m,fr,fb,fj,fw,fn,fa,fdr,fdb,fdj,fdw,fdn,fda,fsr,fsb,fsj,fsw,fsn,fsa,added,fibres,fdure,souple,fragments
Préverenges,VD_Pré_7,ligne-d'eau,1,8.0,28.0,0.0,43.0,31.0,0.0,2.0,2.0,2.0,12.0,12.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,148.0,110.0,32.0,6.0,38.0
Préverenges,VD_Pré_8,ligne-d'eau,1,11.0,26.0,2.0,73.0,20.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,151.0,132.0,9.0,10.0,19.0
Préverenges,VD_Pré_9,ligne-d'eau,1,5.0,31.0,0.0,60.0,19.0,3.0,2.0,1.0,0.0,4.0,34.0,2.0,0.0,2.0,0.0,11.0,0.0,0.0,174.0,118.0,43.0,13.0,56.0
Préverenges,VD_Pré_10,ligne-d'eau,1,5.0,8.0,1.0,22.0,17.0,0.0,4.0,3.0,2.0,1.0,29.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,95.0,53.0,40.0,2.0,42.0
Préverenges,VD_Pré_11,plage-seche,1,11.0,33.0,3.0,133.0,41.0,3.0,1.0,4.0,1.0,12.0,4.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,253.0,224.0,23.0,6.0,29.0
Préverenges,VD_Pré_12,plage-seche,1,9.0,23.0,1.0,71.0,19.0,1.0,1.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,139.0,124.0,13.0,2.0,15.0
Préverenges,VD_Pré_14,plage-seche,1,15.0,42.0,0.0,123.0,27.0,1.0,1.0,1.0,2.0,16.0,6.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,242.0,208.0,26.0,8.0,34.0
Préverenges,VD_Pré_16,plage-seche,1,4.0,29.0,0.0,43.0,17.0,1.0,0.0,2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,114.0,94.0,14.0,6.0,20.0
Préverenges,VD_Pré_17,plage-seche,1,9.0,22.0,4.0,60.0,34.0,1.0,1.0,3.0,1.0,12.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,157.0,130.0,21.0,6.0,27.0
Préverenges,VD_Pré_19,plage-seche,1,17.0,16.0,0.0,62.0,23.0,2.0,4.0,1.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,142.0,120.0,18.0,4.0,22.0
Préverenges,VD_Pré_20,plage-seche,1,9.0,22.0,2.0,65.0,22.0,1.0,3.0,3.0,2.0,16.0,3.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,157.0,121.0,29.0,7.0,36.0
Préverenges,VD_Pré_21,plage-seche,1,9.0,36.0,4.0,118.0,39.0,0.0,21.0,39.0,3.0,14.0,4.0,4.0,0.0,1.0,1.0,9.0,0.0,0.0,302.0,206.0,85.0,11.0,96.0
Vidy,VD_Vid_1,ligne-d'eau,1,18.0,22.0,1.0,37.0,21.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,102.0,2.0,0.0,2.0
Vidy,VD_Vid_2,ligne-d'eau,1,25.0,48.0,1.0,82.0,46.0,0.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,213.0,202.0,10.0,1.0,11.0
Vidy,VD_Vid_3,ligne-d'eau,1,2.0,12.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,39.0,1.0,0.0,1.0
Vidy,VD_Vid_4,ligne-d'eau,1,3.0,6.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,24.0,2.0,0.0,2.0
