place,événement,zone,substrat,matériel,y,région
Hermance,GE_Her_1,ligne-d'eau,Graviers,fdure,3.0,petit-lac
Hermance,GE_Her_2,ligne-d'eau,Graviers,fdure,1.0,petit-lac
Hermance,GE_Her_3,ligne-d'eau,Graviers,fdure,4.0,petit-lac
Hermance,GE_Her_4,ligne-d'eau,Graviers,fdure,9.0,petit-lac
Savonière,GE_Sav_1,ligne-d'eau,Galets,fdure,10.0,petit-lac
Savonière,GE_Sav_2,ligne-d'eau,Galets,fdure,2.0,petit-lac
Savonière,GE_Sav_3,ligne-d'eau,Galets,fdure,34.0,petit-lac
Baby Plage,GE_Bab_1,ligne-d'eau,Sables fin,fdure,1.0,petit-lac
Baby Plage,GE_Bab_2,ligne-d'eau,Sables fin,fdure,3.0,petit-lac
Baby Plage,GE_Bab_3,ligne-d'eau,Sables fin,fdure,1.0,petit-lac
Baby Plage,GE_Bab_4,ligne-d'eau,Sables fin,fdure,6.0,petit-lac
Baby Plage,GE_Bab_5,ligne-d'eau,Sables fin,fdure,19.0,petit-lac
Baby Plage,GE_Bab_6,plage-seche,Sables fin,fdure,8.0,petit-lac
Baby Plage,GE_Bab_7,plage-seche,Sables fin,fdure,12.0,petit-lac
Baby Plage,GE_Bab_8,plage-seche,Sables fin,fdure,16.0,petit-lac
Versoix,GE_Ver_1,ligne-d'eau,Graviers,fdure,3.0,petit-lac
Versoix,GE_Ver_2,ligne-d'eau,Graviers,fdure,10.0,petit-lac
Versoix,GE_Ver_3,ligne-d'eau,Graviers,fdure,1.0,petit-lac
Versoix,GE_Ver_4,plage-seche,Graviers,fdure,17.0,petit-lac
Crans,VD_Cra_1,ligne-d'eau,Sables grossiers,fdure,2.0,petit-lac
Gland,VD_Gld_1,ligne-d'eau,Sables grossiers,fdure,8.0,grand-lac
Rolle,VD_Rol_1,ligne-d'eau,Sables grossiers,fdure,30.0,grand-lac
Rolle,VD_Rol_2,ligne-d'eau,Sables grossiers,fdure,35.0,grand-lac
Rolle,VD_Rol_3,ligne-d'eau,Sables grossiers,fdure,15.0,grand-lac
Rolle,VD_Rol_4,ligne-d'eau,Sables grossiers,fdure,24.0,grand-lac
Rolle,VD_Rol_5,ligne-d'eau,Sables grossiers,fdure,21.0,grand-lac
Rolle,VD_Rol_6,ligne-d'eau,Sables grossiers,fdure,40.0,grand-lac
Rolle,VD_Rol_7,ligne-d'eau,Sables grossiers,fdure,21.0,grand-lac
Rolle,VD_Rol_8,ligne-d'eau,Sables grossiers,fdure,41.0,grand-lac
Rolle,VD_Rol_9,ligne-d'eau,Sables grossiers,fdure,21.0,grand-lac
Rolle,VD_Rol_10,ligne-d'eau,Sables grossiers,fdure,10.0,grand-lac
Rolle,VD_Rol_11,plage-seche,Sables grossiers,fdure,36.0,grand-lac
Rolle,VD_Rol_12,plage-seche,Sables grossiers,fdure,20.0,grand-lac
Rolle,VD_Rol_13,plage-seche,Sables grossiers,fdure,198.0,grand-lac
Rolle,VD_Rol_14,plage-seche,Sables grossiers,fdure,43.0,grand-lac
Rolle,VD_Rol_15,plage-seche,Sables grossiers,fdure,42.0,grand-lac
Rolle,VD_Rol_16,plage-seche,Sables grossiers,fdure,12.0,grand-lac
Rolle,VD_Rol_17,plage-seche,Sables grossiers,fdure,16.0,grand-lac
Rolle,VD_Rol_18,plage-seche,Sables grossiers,fdure,12.0,grand-lac
Rolle,VD_Rol_19,plage-seche,Sables grossiers,fdure,33.0,grand-lac
Rolle,VD_Rol_20,plage-seche,Sables grossiers,fdure,31.0,grand-lac
Rolle,VD_Rol_21,plage-seche,Sables grossiers,fdure,154.0,grand-lac
Aubonne,VD_Aub_1,ligne-d'eau,Galets,fdure,5.0,grand-lac
Aubonne,VD_Aub_2,ligne-d'eau,Galets,fdure,8.0,grand-lac
Aubonne,VD_Aub_3,ligne-d'eau,Galets,fdure,2.0,grand-lac
Aubonne,VD_Aub_4,ligne-d'eau,Galets,fdure,37.0,grand-lac
Aubonne,VD_Aub_5,ligne-d'eau,Galets,fdure,11.0,grand-lac
Aubonne,VD_Aub_6,plage-seche,Galets,fdure,10.0,grand-lac
Tolochenaz,VD_Tol_1,ligne-d'eau,Sables grossiers,fdure,3.0,grand-lac
Tolochenaz,VD_Tol_2,ligne-d'eau,Sables grossiers,fdure,1.0,grand-lac
Tolochenaz,VD_Tol_3,ligne-d'eau,Sables grossiers,fdure,7.0,grand-lac
Tolochenaz,VD_Tol_4,ligne-d'eau,Sables grossiers,fdure,6.0,grand-lac
Préverenges,VD_Pré_1,ligne-d'eau,Sables fin,fdure,16.0,grand-lac
Préverenges,VD_Pré_3,ligne-d'eau,Sables fin,fdure,112.0,grand-lac
Préverenges,VD_Pré_4,ligne-d'eau,Sables fin,fdure,41.0,grand-lac
Préverenges,VD_Pré_5,ligne-d'eau,Sables fin,fdure,58.0,grand-lac
Préverenges,VD_Pré_6,ligne-d'eau,Sables fin,fdure,15.0,grand-lac
Préverenges,VD_Pré_7,ligne-d'eau,Sables fin,fdure,32.0,grand-lac
Préverenges,VD_Pré_8,ligne-d'eau,Sables fin,fdure,9.0,grand-lac
Préverenges,VD_Pré_9,ligne-d'eau,Sables fin,fdure,43.0,grand-lac
Préverenges,VD_Pré_10,ligne-d'eau,Sables fin,fdure,40.0,grand-lac
Préverenges,VD_Pré_11,plage-seche,Sables fin,fdure,23.0,grand-lac
Préverenges,VD_Pré_12,plage-seche,Sables fin,fdure,13.0,grand-lac
Préverenges,VD_Pré_14,plage-seche,Sables fin,fdure,26.0,grand-lac
Préverenges,VD_Pré_16,plage-seche,Sables fin,fdure,14.0,grand-lac
Préverenges,VD_Pré_17,plage-seche,Sables fin,fdure,21.0,grand-lac
Préverenges,VD_Pré_19,plage-seche,Sables fin,fdure,18.0,grand-lac
Préverenges,VD_Pré_20,plage-seche,Sables fin,fdure,29.0,grand-lac
Préverenges,VD_Pré_21,plage-seche,Sables fin,fdure,85.0,grand-lac
Vidy,VD_Vid_1,ligne-d'eau,Sables fin,fdure,2.0,grand-lac
