Lieu;Aire;Temps;Position;Substrat;Date;Saison;Objet;Code;OPSAR;UNEP;Quantité;Poids;;;
Baby Plage;112;60;1;1;23.04.2022;2;Cable/fil électrique;G194;;;1;0,002;0,008928571;2;2
Baby Plage;112;60;1;1;15.10.2022;4;Sac à ordure/à poubelle en plastique;G2;;PL07;1;0,043;0,008928571;43;
Baby Plage;112;60;1;1;23.04.2022;2;Sachet plastique;G2;;PL07;1;0,0002;0,008928571;0,2;
Baby Plage;112;60;1;1;02.09.2022;3;Sachet plastique;G2;;PL07;1;0,0002;0,008928571;0,2;
Baby Plage;384;200;2;1;23.04.2022;2;Bouchon/capuchon PET;G21;15;PL01;1;0,00175;0,002604167;1,75;1,75
Baby Plage;112;60;1;1;02.09.2022;3;Bouchon/capuchon PET;G21;15;PL01;1;0,00175;0,008928571;1,75;1,75
Baby Plage;384;200;2;1;02.09.2022;3;Bouchon/capuchon PET;G21;15;PL01;2;0,0035;0,005208333;1,75;1,75
Baby Plage;112;60;1;1;22.01.2022;1;Couvercle/capuchon/bouchon plastique PET;G21;15;PL01;1;0,004;0,008928571;4;
Baby Plage;112;60;1;1;23.04.2022;2;Couvercle/capuchon/bouchon plastique PET;G21;15;PL01;1;0,004;0,008928571;4;
Baby Plage;112;60;1;1;22.01.2022;1;Pansement/Sparadrap/Bande;G211;105;OT05;1;0,0002;0,008928571;0,2;0,2
Baby Plage;384;200;2;1;23.04.2022;2;Pansement/Sparadrap/Bande;G211;105;OT05;6;0,0012;0,015625;0,2;0,2
Baby Plage;112;60;1;1;02.09.2022;3;Pansement/Sparadrap/Bande;G211;105;OT05;2;0,0004;0,017857143;0,2;0,2
Baby Plage;384;200;2;1;02.09.2022;3;Pansement/Sparadrap/Bande;G211;105;OT05;3;0,0006;0,0078125;0,2;0,2
Baby Plage;112;60;1;1;15.10.2022;4;Pansement/Sparadrap/Bande;G211;105;OT05;1;0,0002;0,008928571;0,2;0,2
Baby Plage;384;200;2;1;15.10.2022;4;Pansement/Sparadrap/Bande;G211;105;OT05;4;0,0008;0,010416667;0,2;0,2
