location,loc_date,Orientation,latitude,longitude,position,substrate,area,time,length
Port Choiseul,GE_Por_8,NE,46.28951667,6.170783333,2,3,297,150,78
Port Choiseul,GE_Por_9,NE,46.28941667,6.170816667,2,3,297,150,78
Savonière,GE_Sav_1,NO,46.26413333,6.199733333,1,4,82,40,55
Savonière,GE_Sav_2,NO,46.26416667,6.199916667,1,4,82,40,55
Savonière,GE_Sav_3,OSO,46.26426667,6.20005,1,4,82,40,55
Savonière,GE_Sav_4,NO,46.26411667,6.199733333,2,2,325,160,55
Savonière,GE_Sav_5,NO,46.26413333,6.1999,2,2,325,160,55
Savonière,GE_Sav_6,NO,46.26421667,6.199983333,2,2,325,160,55
Savonière,GE_Sav_7,NO,46.26408333,6.199783333,2,2,325,160,55
Savonière,GE_Sav_8,NO,46.26413333,6.199883333,2,2,325,160,55
Savonière,GE_Sav_9,NO,46.26416667,6.199983333,2,2,325,160,55
Versoix,GE_Ver_1,ESE,46.27405,6.171316667,1,3,37,20,30
Versoix,GE_Ver_2,ESE,46.274,6.171316667,1,3,37,20,30
Versoix,GE_Ver_3,ESE,46.27396667,6.171216667,1,3,37,20,30
Versoix,GE_Ver_4,ESE,46.27401667,6.17125,2,3,169,85,30
Aubonne,VD_Aub_1,ONO,46.46026667,6.39115,1,4,72,40,50
Aubonne,VD_Aub_2,O,46.46033333,6.391183333,1,4,72,40,50
Aubonne,VD_Aub_3,OSO,46.46041667,6.391166667,1,4,72,40,50
Aubonne,VD_Aub_4,OSO,46.46046667,6.391133333,1,4,72,40,50
Aubonne,VD_Aub_5,SO,46.46051667,6.39115,1,4,72,40,50
Aubonne,VD_Aub_6,ONO,46.4603,6.391183333,2,4,268,150,50
Aubonne,VD_Aub_7,OSO,46.46038333,6.3912,2,4,268,150,50
Aubonne,VD_Aub_8,OSO,46.4604,6.391266667,2,4,268,150,50
Aubonne,VD_Aub_9,OSO,46.46046667,6.391266667,2,4,268,150,50
Clarens,VD_Cls_1,SSO,46.43941667,6.889566667,1,4,67,30,52
Clarens,VD_Cls_2,SSO,46.4394,6.889466667,1,4,67,30,52
Clarens,VD_Cls_3,SSO,46.43943333,6.889383333,1,4,67,30,52
Clarens,VD_Cls_4,SSO,46.43943333,6.889266667,1,4,67,30,52
Clarens,VD_Cls_5,SSO,46.43943333,6.889566667,2,2,273,125,52
Clarens,VD_Cls_6,SSO,46.43951667,6.88935,2,2,273,125,52
Clarens,VD_Cls_7,SSO,46.4395,6.88945,2,2,273,125,52
Crans,VD_Cra_1,SSE,46.35538333,6.214033333,1,2,16,6,21
Cully,VD_Cul_1,SO,46.48895,6.7414,1,3,15,7,18
Cully,VD_Cul_2,SO,46.48896667,6.741433333,2,3,52,25,18
Gland,VD_Gld_1,E,46.4188,6.290033333,1,2,23,8,23
Grangettes,VD_Grs_1,NO,46.39621667,6.886716667,1,1,79,40,66
Grangettes,VD_Grs_2,NO,46.39626667,6.8868,1,1,79,40,66
Grangettes,VD_Grs_3,NO,46.39631667,6.88685,1,1,79,40,66
Grangettes,VD_Grs_4,NO,46.39636667,6.886933333,1,1,79,40,66
Grangettes,VD_Grs_5,NO,46.39625,6.886766667,2,1,260,130,66
Grangettes,VD_Grs_6,NO,46.39628333,6.886833333,2,1,260,130,66
Grangettes,VD_Grs_7,NO,46.39631667,6.886933333,2,1,260,130,66
Lutry,VD_Lut_1,SSE,46.49995,6.69245,1,4,77,40,66
Lutry,VD_Lut_2,SE,46.49988333,6.692283333,1,4,77,40,66
Lutry,VD_Lut_3,SE,46.49976667,6.69215,1,4,77,40,66
Lutry,VD_Lut_4,SE,46.4997,6.692066667,1,4,77,40,66
Lutry,VD_Lut_5,SSE,46.49991667,6.692366667,2,2,234,120,66
Lutry,VD_Lut_6,SE,46.49986667,6.692266667,2,2,234,120,66
Lutry,VD_Lut_7,SE,46.49981667,6.692183333,2,2,234,120,66
Lutry,VD_Lut_8,SE,46.49976667,6.692066667,2,2,234,120,66
Pichette,VD_Pic_1,SSE,46.46991667,6.815783333,1,3,41,20,40
Pichette,VD_Pic_2,S,46.46988333,6.815566667,1,3,41,20,40
Pichette,VD_Pic_3,SSE,46.4699,6.815483333,1,3,41,20,40
Pichette,VD_Pic_4,SSE,46.46991667,6.815716667,2,3,190,100,40
Pichette,VD_Pic_5,SSE,46.46993333,6.815633333,2,3,190,100,40
Pichette,VD_Pic_6,S,46.46991667,6.81555,2,3,190,100,40
Préverenges,VD_Pré_1,SO,46.51141667,6.529916667,1,1,150,80,125
Préverenges,VD_Pré_10,SO,46.51215,6.528616667,1,1,150,80,125
Préverenges,VD_Pré_11,SO,46.51146667,6.529983333,2,1,961,490,125
Préverenges,VD_Pré_12,SO,46.5115,6.5299,2,1,961,490,125
Préverenges,VD_Pré_13,SO,46.51163333,6.529733333,2,1,961,490,125
Préverenges,VD_Pré_14,SO,46.51178333,6.52945,2,1,961,490,125
Préverenges,VD_Pré_15,SO,46.51198333,6.529066667,2,1,961,490,125
Préverenges,VD_Pré_16,SO,46.51286833,6.52895,2,1,961,490,125
Préverenges,VD_Pré_17,SO,46.51208333,6.528816667,2,1,961,490,125
Préverenges,VD_Pré_18,SO,46.51213333,6.528683333,2,1,961,490,125
Préverenges,VD_Pré_19,SO,46.51156667,6.529966667,2,1,961,490,125
Préverenges,VD_Pré_2,SO,46.51146667,6.5299,1,1,150,80,125
Préverenges,VD_Pré_20,SO,46.51158333,6.52985,2,1,961,490,125
Préverenges,VD_Pré_21,SO,46.5117,6.52965,2,1,961,490,125
Préverenges,VD_Pré_22,SO,46.51193333,6.529266667,2,1,961,490,125
Préverenges,VD_Pré_23,SO,46.51206667,6.52895,2,1,961,490,125
Préverenges,VD_Pré_24,SO,46.51215,6.528783333,2,1,961,490,125
Préverenges,VD_Pré_3,SO,46.51158333,6.529683333,1,1,150,80,125
Préverenges,VD_Pré_4,SO,46.51166667,6.529533333,1,1,150,80,125
Préverenges,VD_Pré_5,SO,46.51173333,6.529383333,1,1,150,80,125
Préverenges,VD_Pré_6,SO,46.51188333,6.529083333,1,1,150,80,125
Préverenges,VD_Pré_7,SO,46.51195,6.529016667,1,1,150,80,125
Préverenges,VD_Pré_8,SO,46.512,6.528883333,1,1,150,80,125
Préverenges,VD_Pré_9,SO,46.51208333,6.528733333,1,1,150,80,125
Rolle,VD_Rol_1,SSO,46.46133333,6.350633333,1,1,122,60,98
Rolle,VD_Rol_10,S,46.46133333,6.349783333,1,1,122,60,98
Rolle,VD_Rol_11,SSO,46.46138333,6.35055,2,1,937,475,98
Rolle,VD_Rol_12,SSO,46.4614,6.35045,2,1,937,475,98
Rolle,VD_Rol_13,SSO,46.46141667,6.350366667,2,1,937,475,98
Rolle,VD_Rol_14,S,46.46143333,6.350266667,2,1,937,475,98
Rolle,VD_Rol_15,S,46.46143333,6.350183333,2,1,937,475,98
Rolle,VD_Rol_16,S,46.46141667,6.350066667,2,1,937,475,98
Rolle,VD_Rol_17,SSE,46.46136667,6.349883333,2,1,937,475,98
Rolle,VD_Rol_18,S,46.46135,6.349783333,2,1,937,475,98
Rolle,VD_Rol_19,S,46.46146667,6.350216667,2,1,937,475,98
Rolle,VD_Rol_2,SSO,46.46133333,6.350516667,1,1,122,60,98
Rolle,VD_Rol_20,S,46.46145,6.350166667,2,1,937,475,98
Rolle,VD_Rol_21,SSE,46.46145,6.350033333,2,1,937,475,98
Rolle,VD_Rol_3,SSO,46.46133333,6.350466667,1,1,122,60,98
Rolle,VD_Rol_4,SSO,46.46135,6.350333333,1,1,122,60,98
Rolle,VD_Rol_5,S,46.46136667,6.350266667,1,1,122,60,98
Rolle,VD_Rol_6,S,46.46136667,6.3502,1,1,122,60,98
Rolle,VD_Rol_7,S,46.46138333,6.350133333,1,1,122,60,98
Rolle,VD_Rol_8,SSE,46.46136667,6.35005,1,1,122,60,98
Rolle,VD_Rol_9,SSE,46.46135,6.3499,1,1,122,60,98
Tolochenaz,VD_Tol_1,SE,46.4917,6.48075,1,2,52,25,36
Tolochenaz,VD_Tol_2,SE,46.49166667,6.4807,1,2,52,25,36
Tolochenaz,VD_Tol_3,ENE,46.49158333,6.480633333,1,2,52,25,36
Tolochenaz,VD_Tol_4,ENE,46.4916,6.480583333,1,2,52,25,36
Vidy,VD_Vid_1,SO,46.51121667,6.6109,1,1,91,45,71
