;;;;;;;;;;;FIBRE;;;;;;FRAGMENT DUR;;;;;;FRAGMENT SOUPLE;;;;;
Plage;"Fréquentation (1=Faible; 2=moyenne; 3= élevée)";"Situation (1 = campagne; 2 =urbain)";"Distance parking (1=<100m; 2=100-500m; 3=500-1000m; 4=<1000m)";Echantillon;Coordonnée x;Coordonnée y;Orientation;Orientation moyenne;"Position de l'échantillon
1 = Ligne d'eau
2 = reste de la plage";"Substrat (1 = Sable fin; 2 = Sable grossier; 3 = Gravier; 4 = Galet )";Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre;Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre;Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre
Savonière;3;1;1;GE_Sav_8;46,26413333;6,199883333;NO;307,5;2;2;;;;;;;;;;;;;;;;;;
Savonière;3;1;1;GE_Sav_9;46,26416667;6,199983333;NO;307,5;2;2;;;;;;;;;;;;;;;;;;
Versoix;3;1;2;GE_Ver_1;46,27405;6,171316667;ESE;112,5;1;3;2;10;;37;10;;;;;;3;;;;;;;
Versoix;3;1;2;GE_Ver_2;46,274;6,171316667;ESE;112,5;1;3;7;26;0;64;36;1;2;0;1;3;3;1;0;0;0;2;0;0
Versoix;3;1;2;GE_Ver_3;46,27396667;6,171216667;ESE;112,5;1;3;4;21;1;39;21;3;;;;;1;;;;;;;
Versoix;3;1;2;GE_Ver_4;46,27401667;6,17125;ESE;112,5;2;3;8;13;0;40;19;4;3;2;1;5;3;3;0;0;0;0;0;0
Aubonne;2;1;4;VD_Aub_1;46,46026667;6,39115;ONO;257,5;1;4;4;9;0;12;14;0;0;0;0;2;1;2;0;0;0;0;0;0
Aubonne;2;1;4;VD_Aub_2;46,46033333;6,391183333;O;257,5;1;4;6;16;0;18;10;1;0;0;0;4;1;3;0;0;0;0;0;0
Aubonne;2;1;4;VD_Aub_3;46,46041667;6,391166667;OSO;257,5;1;4;5;24;0;32;25;0;0;0;0;1;0;1;0;0;0;1;0;0
Aubonne;2;1;4;VD_Aub_4;46,46046667;6,391133333;OSO;257,5;1;4;2;8;0;15;5;0;1;2;0;28;3;3;0;0;0;0;0;0
Aubonne;2;1;4;VD_Aub_5;46,46051667;6,39115;SO;257,5;1;4;0;11;0;28;2;1;0;1;0;9;1;0;0;0;0;2;0;0
Aubonne;2;1;4;VD_Aub_6;46,4603;6,391183333;ONO;257,5;2;4;5;14;0;38;17;2;0;0;0;7;2;1;0;0;0;1;0;0
Aubonne;2;1;4;VD_Aub_7;46,46038333;6,3912;OSO;257,5;2;4;;;;;;;;;;;;;;;;;;
Aubonne;2;1;4;VD_Aub_8;46,4604;6,391266667;OSO;257,5;2;4;;;;;;;;;;;;;;;;;;
Aubonne;2;1;4;VD_Aub_9;46,46046667;6,391266667;OSO;257,5;2;4;;;;;;;;;;;;;;;;;;
Clarens;3;2;1;VD_Cls_1;46,43941667;6,889566667;SSO;202,5;1;4;6;10;1;17;10;;;2;0;2;2;1;0;1;0;0;0;0
Clarens;3;2;1;VD_Cls_2;46,4394;6,889466667;SSO;202,5;1;4;5;13;;42;24;;;;0;;3;;;;;2;;
Clarens;3;2;1;VD_Cls_3;46,43943333;6,889383333;SSO;202,5;1;4;1;16;;18;6;1;;1;0;;5;1;;;;;;
Clarens;3;2;1;VD_Cls_4;46,43943333;6,889266667;SSO;202,5;1;4;2;4;1;6;12;;2;;0;;;;;;;;;
Clarens;3;2;1;VD_Cls_5;46,43943333;6,889566667;SSO;202,5;2;2;;;;;;;;;;;;;;;;;;
Clarens;3;2;1;VD_Cls_6;46,43951667;6,88935;SSO;202,5;2;2;;;;;;;;;;;;;;;;;;
