loc_date,date,slug,code,quantity,city,feature_name,feature_type,parent_boundary,pcs_m,project
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G214,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G25,2,La Tour-de-Peilz,lac-leman,l,rhone,0.07,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G26,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G27,25,La Tour-de-Peilz,lac-leman,l,rhone,0.89,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G28,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G29,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G3,2,La Tour-de-Peilz,lac-leman,l,rhone,0.07,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G30,6,La Tour-de-Peilz,lac-leman,l,rhone,0.21,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G31,1,La Tour-de-Peilz,lac-leman,l,rhone,0.04,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G32,1,La Tour-de-Peilz,lac-leman,l,rhone,0.04,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G33,3,La Tour-de-Peilz,lac-leman,l,rhone,0.11,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G34,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G35,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G36,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G37,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G38,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G39,0,La Tour-de-Peilz,lac-leman,l,rhone,0.0,IQAASL
"('anarchy-beach', '2021-03-24')",2021-03-24,anarchy-beach,G4,1,La Tour-de-Peilz,lac-leman,l,rhone,0.04,IQAASL
