location,date,area,length,project,doy,quantity,code,loc_date,pcs/m,pcs/m²,slug,Project,city
anthy,2022-02-09,273.0,85.0,plastock,40,1,G932,"('anthy', '2022-02-09')",0.0117647058823529,0.0036630036630036,anthy,Testing,Anthy
anthy,2022-02-09,273.0,85.0,plastock,40,3,G95,"('anthy', '2022-02-09')",0.0352941176470588,0.0109890109890109,anthy,Testing,Anthy
anthy,2022-07-20,273.0,85.0,plastock,201,1,G134,"('anthy', '2022-07-20')",0.0117647058823529,0.0036630036630036,anthy,Testing,Anthy
anthy,2022-07-20,273.0,85.0,plastock,201,7,G27,"('anthy', '2022-07-20')",0.0823529411764705,0.0256410256410256,anthy,Testing,Anthy
anthy,2022-07-20,273.0,85.0,plastock,201,1,G30,"('anthy', '2022-07-20')",0.0117647058823529,0.0036630036630036,anthy,Testing,Anthy
anthy,2022-07-20,273.0,85.0,plastock,201,2,G31,"('anthy', '2022-07-20')",0.0235294117647058,0.0073260073260073,anthy,Testing,Anthy
anthy,2022-07-20,273.0,85.0,plastock,201,1,G50,"('anthy', '2022-07-20')",0.0117647058823529,0.0036630036630036,anthy,Testing,Anthy
anthy,2022-07-20,273.0,85.0,plastock,201,1,G53,"('anthy', '2022-07-20')",0.0117647058823529,0.0036630036630036,anthy,Testing,Anthy
anthy,2022-07-20,273.0,85.0,plastock,201,4,G95,"('anthy', '2022-07-20')",0.0470588235294117,0.0146520146520146,anthy,Testing,Anthy
anthy,2022-11-23,273.0,85.0,plastock,327,3,G27,"('anthy', '2022-11-23')",0.0352941176470588,0.0109890109890109,anthy,Testing,Anthy
anthy,2022-11-23,273.0,85.0,plastock,327,4,G89,"('anthy', '2022-11-23')",0.0470588235294117,0.0146520146520146,anthy,Testing,Anthy
anthy,2022-11-23,273.0,85.0,plastock,327,1,G905,"('anthy', '2022-11-23')",0.0117647058823529,0.0036630036630036,anthy,Testing,Anthy
aubonne,2022-11-05,340.0,50.0,plastock,309,2,G103,"('aubonne', '2022-11-05')",0.04,0.0058823529411764,aubonne,Testing,Aubonne
aubonne,2022-11-05,340.0,50.0,plastock,309,2,G106,"('aubonne', '2022-11-05')",0.04,0.0058823529411764,aubonne,Testing,Aubonne
aubonne,2022-11-05,340.0,50.0,plastock,309,1,G113,"('aubonne', '2022-11-05')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-11-05,340.0,50.0,plastock,309,1,G117,"('aubonne', '2022-11-05')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-11-05,340.0,50.0,plastock,309,3,G27,"('aubonne', '2022-11-05')",0.06,0.0088235294117647,aubonne,Testing,Aubonne
aubonne,2022-11-05,340.0,50.0,plastock,309,3,G30,"('aubonne', '2022-11-05')",0.06,0.0088235294117647,aubonne,Testing,Aubonne
aubonne,2022-11-05,340.0,50.0,plastock,309,1,G31,"('aubonne', '2022-11-05')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
aubonne,2022-11-05,340.0,50.0,plastock,309,1,G932,"('aubonne', '2022-11-05')",0.02,0.0029411764705882,aubonne,Testing,Aubonne
