Plage,échantillon,orientation,position,substrat,fréquentation,situation,distance,objet,compte
Excenevex,74_Exc_20,NE,2,1,3,1,1,fdure,4.0
Excenevex,74_Exc_20,NE,2,1,3,1,1,fibres,44.0
Excenevex,74_Exc_20,NE,2,1,3,1,1,souple,2.0
Excenevex,74_Exc_21,NE,2,1,3,1,1,fdure,3.0
Excenevex,74_Exc_21,NE,2,1,3,1,1,fibres,57.0
Excenevex,74_Exc_21,NE,2,1,3,1,1,souple,6.0
Excenevex,74_Exc_22,NE,2,1,3,1,1,fdure,59.0
Excenevex,74_Exc_22,NE,2,1,3,1,1,fibres,110.0
Excenevex,74_Exc_22,NE,2,1,3,1,1,souple,10.0
Excenevex,74_Exc_23,NE,2,1,3,1,1,fdure,32.0
Excenevex,74_Exc_23,NE,2,1,3,1,1,fibres,30.0
Excenevex,74_Exc_23,NE,2,1,3,1,1,souple,25.0
Excenevex,74_Exc_25,NE,2,1,3,1,1,fdure,22.0
Excenevex,74_Exc_25,NE,2,1,3,1,1,fibres,51.0
Excenevex,74_Exc_25,NE,2,1,3,1,1,souple,41.0
Excenevex,74_Exc_27,NE,2,1,3,1,1,fdure,29.0
Excenevex,74_Exc_27,NE,2,1,3,1,1,fibres,168.0
Excenevex,74_Exc_27,NE,2,1,3,1,1,souple,65.0
Excenevex,74_Exc_29,NE,2,1,3,1,1,fdure,12.0
Excenevex,74_Exc_29,NE,2,1,3,1,1,fibres,40.0
Excenevex,74_Exc_29,NE,2,1,3,1,1,souple,5.0
Excenevex,74_Exc_3,NE,1,1,3,1,1,fdure,11.0
Excenevex,74_Exc_3,NE,1,1,3,1,1,fibres,109.0
Excenevex,74_Exc_3,NE,1,1,3,1,1,souple,10.0
Excenevex,74_Exc_30,NE,2,1,3,1,1,fdure,12.0
Excenevex,74_Exc_30,NE,2,1,3,1,1,fibres,59.0
Excenevex,74_Exc_30,NE,2,1,3,1,1,souple,13.0
Excenevex,74_Exc_31,NE,2,1,3,1,1,fdure,13.0
Excenevex,74_Exc_31,NE,2,1,3,1,1,fibres,57.0
Excenevex,74_Exc_31,NE,2,1,3,1,1,souple,12.0
Excenevex,74_Exc_32,NE,2,1,3,1,1,fdure,39.0
Excenevex,74_Exc_32,NE,2,1,3,1,1,fibres,187.0
Excenevex,74_Exc_32,NE,2,1,3,1,1,souple,89.0
Excenevex,74_Exc_33,NE,2,1,3,1,1,fdure,21.0
Excenevex,74_Exc_33,NE,2,1,3,1,1,fibres,189.0
Excenevex,74_Exc_33,NE,2,1,3,1,1,souple,83.0
Excenevex,74_Exc_34,NE,2,1,3,1,1,fdure,20.0
Excenevex,74_Exc_34,NE,2,1,3,1,1,fibres,176.0
Excenevex,74_Exc_34,NE,2,1,3,1,1,souple,25.0
Excenevex,74_Exc_4,NE,1,1,3,1,1,fdure,3.0
Excenevex,74_Exc_4,NE,1,1,3,1,1,fibres,39.0
Excenevex,74_Exc_4,NE,1,1,3,1,1,souple,9.0
Excenevex,74_Exc_5,NE,1,1,3,1,1,fdure,1.0
Excenevex,74_Exc_5,NE,1,1,3,1,1,fibres,33.0
Excenevex,74_Exc_5,NE,1,1,3,1,1,souple,4.0
Excenevex,74_Exc_6,NE,1,1,3,1,1,fdure,3.0
Excenevex,74_Exc_6,NE,1,1,3,1,1,fibres,125.0
Excenevex,74_Exc_6,NE,1,1,3,1,1,souple,0.0
Excenevex,74_Exc_7,NE,1,1,3,1,1,fdure,0.0
Excenevex,74_Exc_7,NE,1,1,3,1,1,fibres,120.0
Excenevex,74_Exc_7,NE,1,1,3,1,1,souple,3.0
Excenevex,74_Exc_8,NE,1,1,3,1,1,fdure,0.0
Excenevex,74_Exc_8,NE,1,1,3,1,1,fibres,126.0
Excenevex,74_Exc_8,NE,1,1,3,1,1,souple,2.0
Excenevex,74_Exc_9,NE,2,1,3,1,1,fdure,36.0
Excenevex,74_Exc_9,NE,2,1,3,1,1,fibres,157.0
Excenevex,74_Exc_9,NE,2,1,3,1,1,souple,32.0
Gland,VD_Gld_1,E,1,2,2,1,1,fdure,8.0
Gland,VD_Gld_1,E,1,2,2,1,1,fibres,26.0
Gland,VD_Gld_1,E,1,2,2,1,1,souple,6.0
Grangettes,VD_Grs_1,NO,1,1,2,1,2,fdure,14.0
Grangettes,VD_Grs_1,NO,1,1,2,1,2,fibres,181.0
Grangettes,VD_Grs_1,NO,1,1,2,1,2,souple,502.0
Grangettes,VD_Grs_2,NO,1,1,2,1,2,fdure,10.0
Grangettes,VD_Grs_2,NO,1,1,2,1,2,fibres,112.0
Grangettes,VD_Grs_2,NO,1,1,2,1,2,souple,166.0
Grangettes,VD_Grs_3,NO,1,1,2,1,2,fdure,10.0
Grangettes,VD_Grs_3,NO,1,1,2,1,2,fibres,89.0
Grangettes,VD_Grs_3,NO,1,1,2,1,2,souple,0.0
Grangettes,VD_Grs_4,NO,1,1,2,1,2,fdure,6.0
Grangettes,VD_Grs_4,NO,1,1,2,1,2,fibres,273.0
Grangettes,VD_Grs_4,NO,1,1,2,1,2,souple,316.0
Grangettes,VD_Grs_6,NO,2,1,2,1,2,fdure,5.0
Grangettes,VD_Grs_6,NO,2,1,2,1,2,fibres,564.0
Grangettes,VD_Grs_6,NO,2,1,2,1,2,souple,65.0
Grangettes,VD_Grs_7,NO,2,1,2,1,2,fdure,2.0
Grangettes,VD_Grs_7,NO,2,1,2,1,2,fibres,186.0
Grangettes,VD_Grs_7,NO,2,1,2,1,2,souple,23.0
Hermance,GE_Her_1,OSO,1,3,3,2,2,fdure,3.0
Hermance,GE_Her_1,OSO,1,3,3,2,2,fibres,79.0
Hermance,GE_Her_1,OSO,1,3,3,2,2,souple,0.0
Hermance,GE_Her_2,OSO,1,3,3,2,2,fdure,1.0
Hermance,GE_Her_2,OSO,1,3,3,2,2,fibres,25.0
Hermance,GE_Her_2,OSO,1,3,3,2,2,souple,0.0
Hermance,GE_Her_3,OSO,1,3,3,2,2,fdure,4.0
Hermance,GE_Her_3,OSO,1,3,3,2,2,fibres,69.0
Hermance,GE_Her_3,OSO,1,3,3,2,2,souple,0.0
Hermance,GE_Her_4,OSO,1,3,3,2,2,fdure,9.0
Hermance,GE_Her_4,OSO,1,3,3,2,2,fibres,76.0
Hermance,GE_Her_4,OSO,1,3,3,2,2,souple,0.0
Hermance,GE_Her_5,OSO,2,3,3,2,2,fdure,12.0
Hermance,GE_Her_5,OSO,2,3,3,2,2,fibres,206.0
Hermance,GE_Her_5,OSO,2,3,3,2,2,souple,14.0
Hermance,GE_Her_6,OSO,2,3,3,2,2,fdure,10.0
Hermance,GE_Her_6,OSO,2,3,3,2,2,fibres,188.0
