Plage,echantillon,position,substrat,fbr,fbb,fbj,fbt,fbn,fba,frr,frb,frj,frt,frn,fra,fsr,fsb,fsj,fst,fsn,fsa,added,fibres,fdure,souple,fragments,frequentation,situation,distance,orientation
Vidy,VD_Vid_6,1,1,3.0,12.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,1.0,0.0,1.0,3.0,2.0,2.0,SSE
Vidy,VD_Vid_7,2,1,14.0,23.0,2.0,134.0,38.0,3.0,40.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,28.0,3.0,2.0,293.0,214.0,45.0,34.0,79.0,3.0,2.0,2.0,SO
Vidy,VD_Vid_8,2,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,SO
Vidy,VD_Vid_9,2,1,17.0,12.0,0.0,70.0,27.0,4.0,7.0,4.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,21.0,1.0,0.0,173.0,130.0,15.0,28.0,43.0,3.0,2.0,2.0,SO
Bouveret,VS_Bou_1,1,1,4.0,10.0,0.0,37.0,17.0,0.0,1.0,1.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,68.0,14.0,0.0,14.0,3.0,1.0,2.0,ONO
Bouveret,VS_Bou_10,2,1,5.0,2.0,0.0,65.0,6.0,2.0,3.0,4.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,105.0,80.0,14.0,11.0,25.0,3.0,1.0,2.0,O
Bouveret,VS_Bou_11,2,1,3.0,18.0,0.0,830.0,32.0,0.0,4.0,3.0,3.0,7.0,3.0,1.0,9.0,8.0,1.0,48.0,1.0,0.0,971.0,883.0,21.0,67.0,88.0,3.0,1.0,2.0,O
Bouveret,VS_Bou_12,2,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,O
Bouveret,VS_Bou_2,1,1,6.0,16.0,2.0,63.0,13.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,100.0,9.0,0.0,9.0,3.0,1.0,2.0,ONO
Bouveret,VS_Bou_3,1,1,3.0,8.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0,1.0,0.0,1.0,3.0,1.0,2.0,O
Bouveret,VS_Bou_4,1,1,4.0,8.0,0.0,17.0,8.0,0.0,8.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,37.0,18.0,2.0,20.0,3.0,1.0,2.0,O
Bouveret,VS_Bou_5,1,1,4.0,38.0,0.0,110.0,45.0,2.0,41.0,2.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,199.0,59.0,0.0,59.0,3.0,1.0,2.0,O
Bouveret,VS_Bou_6,1,1,2.0,4.0,2.0,16.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,3.0,1.0,2.0,OSO
Bouveret,VS_Bou_7,1,1,2.0,8.0,1.0,31.0,11.0,,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,53.0,5.0,0.0,5.0,3.0,1.0,2.0,OSO
Bouveret,VS_Bou_8,2,1,8.0,23.0,0.0,109.0,45.0,0.0,1.0,8.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,48.0,4.0,0.0,255.0,185.0,12.0,58.0,70.0,3.0,1.0,2.0,ONO
Bouveret,VS_Bou_9,2,1,2.0,8.0,2.0,67.0,12.0,0.0,2.0,0.0,3.0,6.0,0.0,1.0,6.0,3.0,2.0,33.0,0.0,0.0,147.0,91.0,12.0,44.0,56.0,3.0,1.0,2.0,ONO
