échantillon,slug,date,code,pcs_m,fréquentation,situation,distance,substrat
"('amphion', '19.07.2022')",amphion,2022-07-19,G10,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G100,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G101,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G102,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G103,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G106,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G112,0.01098901098901099,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G113,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G114,0.3516483516483517,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G117,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G12,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G125,0.01098901098901099,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G126,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G127,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G128,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G129,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G131,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G132,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G133,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G135,0.01098901098901099,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G136,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G137,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G139,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G144,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G145,0.01098901098901099,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G148,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G155,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G159,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G165,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G18,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G194,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G2,0.01098901098901099,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G211,0.054945054945054944,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G25,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G26,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G27,0.16483516483516483,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G28,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G29,0.02197802197802198,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G30,0.3956043956043956,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G31,0.12087912087912088,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G32,0.04395604395604396,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G33,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G34,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G35,0.23076923076923078,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G39,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G4,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G48,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G50,0.02197802197802198,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G53,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G54,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G66,0.01098901098901099,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G67,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G7,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G70,0.13186813186813187,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G73,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G74,0.03296703296703297,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G89,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G90,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G901,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G905,0.054945054945054944,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G914,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G922,0.15384615384615385,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G926,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G929,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G931,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G932,0.0989010989010989,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G937,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G95,0.6703296703296703,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G97,0.0,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,G99,0.01098901098901099,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,Gcaps,0.4945054945054945,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,Gfoams,0.10989010989010989,3,1,1,4
"('amphion', '19.07.2022')",amphion,2022-07-19,Gfrags,2.197802197802198,3,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G10,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G100,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G101,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G102,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G103,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G106,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G112,0.011764705882352941,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G113,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G114,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G117,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G12,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G125,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G126,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G127,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G128,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G129,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G131,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G132,0.023529411764705882,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G133,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G135,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G136,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G137,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G139,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G144,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G145,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G148,0.0,2,1,1,4
"('anthy', '04.05.2022')",anthy,2022-05-04,G155,0.0,2,1,1,4
